comment,Subject,"Structure, Orient",Locus,Scope,Tone
"So you shouldn’t do a t-test for each leg, as it’s over a series of input voltages and doesn’t make a whole lot of sense to do. You can pick a stimulus voltage and take contraction amplitude averages, and then do a test on that",3. Technical and Scientific,Specific info,,,
"These figures are pretty confusing to look at, and I’m not sure they are all that informative. Just make a bar graph like the one I showed in class",3. Technical and Scientific,General info,,,
"This should be in brackets [], not parentheses ()",3. Technical and Scientific,Copy Correction,,,
"Your hypothesis is either totally supported or not, each leg does not support or rejected your hypothesis",3. Technical and Scientific,Specific info,,,
"Your introduction should also mention the species you are working on, and conclude with your hypothesis",2. Writing Quality,Specific info,,,
Your job in the discussion is to come up with several reasons why this could occur,4. Logic and Thinking,General info,,,
Begin your intro with background info. No need to include a summarizing statement like this (save it for the abstract). ,2. Writing Quality,Specific info,,,
Great conclusion,5. Praise or Concern,General info,,,
"I don’t believe this actually qualifies as primary literature. You can include it, but you need an additional citation from a study or journal article in your intro in order to meet the citation requirements for the revision. ",3. Technical and Scientific,Specific info,,,
"If you need help on how to screenshot a figure, let me know. This is very difficult to read at this scale. ",3. Technical and Scientific,Copy Correction,,,
Make sure your figures are uploaded in the same order as your captions and in-text references appear. ,"7. Policy, Administrative",General info,,,
Probably not necessary,2. Writing Quality,General info,,,
Refer to this as a figure (likely figure 1),3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"This belongs in your figure caption, not your results paragraph. ",3. Technical and Scientific,Specific info,,,
"Again, not quite!",3. Technical and Scientific,Pointer,,,
Did this t-test compare mean percent change values? Be specific!,3. Technical and Scientific,Copy Correction,,,
"Give a little more explanation as to why this is your hypothesis. Tell me why alkaline pH could disrupt this light-dependent reactions. Otherwise, good intro too!",4. Logic and Thinking,Specific info,,,
Good abstract!,5. Praise or Concern,General info,,,
Good figure.,5. Praise or Concern,General info,,,
Great results section!,5. Praise or Concern,General info,,,
"Hmm, maybe not quite reaching denaturation, but maybe disrupting protein function?",4. Logic and Thinking,Holistic,,,
How might carbon fixation later in photosynthesis affect this first part (light-dep) photosynthesis?,4. Logic and Thinking,Holistic,,,
Make this connection to photosynthetic activity more explicit.,4. Logic and Thinking,Specific info,,,
Really good discussion!,5. Praise or Concern,General info,,Within Report,Positive
"So apparently SAWHET doesn’t translate italics, so please put brackets around this so that I know that you know that it should be italicized.","7. Policy, Administrative",Copy Correction,,,
"Why? Really, let me know in lab or something, because I’m not sure this is right.",8. No basis to judge,No basis to judge,,,
Why’d you want this pellet?,3. Technical and Scientific,Specific info,,,
"Yes, I like this!",5. Praise or Concern,No basis to judge,,,
Your figure caption should explain what you want me to get out of looking at your figure.,3. Technical and Scientific,General info,,,
?,2. Writing Quality,Pointer,Neutral,Within Report,Neutral
absorbances,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
are you referring to the reaction buffer? In that case what kind/concentration of reaction buffer should have been used?,3. Technical and Scientific,Specific info,,,
Could have presented in a better way,8. No basis to judge,No basis to judge,,,
Ending a sentence with a proposition is considered informal,2. Writing Quality,General info,,,
extracted,2. Writing Quality,Copy Correction,,,
informal,2. Writing Quality,General info,,Within Report,Neutral
Should have been made clear that Hill reaction assay was used to quantify photosynthesis activity,3. Technical and Scientific,Specific info,,,
specify,2. Writing Quality,No basis to judge,,,
Spectrometer,3. Technical and Scientific,Copy Correction,,,
This is rather an interpretation which should go in discussion.,1. Basic Criteria,Specific info,,,
This one should be backed up with data result,4. Logic and Thinking,General info,,,
This one should be backed up with your data result,4. Logic and Thinking,General info,,,
